zpid,address,city,state,zipcode,price,beds,baths,sqft,property_type,listing_date,property_url,days_on_zillow,price_per_sqft
41399477,"4110 McCahill Rd, Chattanooga, TN 37415",,,37415,150000,2,1,962,,,/homedetails/4110-McCahill-Rd-Chattanooga-TN-37415/41399477_zpid/,0,0
41408933,"862 Intermont Rd, Chattanooga, TN 37415",,,37415,299000,3,2,1528,,,/homedetails/862-Intermont-Rd-Chattanooga-TN-37415/41408933_zpid/,0,0
457256248,"3351 Black Oak Cir, Chattanooga, TN 37415",,,37415,260000,3,3,1323,,,/homedetails/3351-Black-Oak-Cir-Chattanooga-TN-37415/457256248_zpid/,1,0
457201060,"2589 Highpoint Dr, Chattanooga, TN 37415",,,37415,175000,2,1,1190,,,/homedetails/2589-Highpoint-Dr-Chattanooga-TN-37415/457201060_zpid/,5,0
41396616,"4135 Mountain Creek Rd, Chattanooga, TN 37415",,,37415,264900,2,3,1368,,,/homedetails/4135-Mountain-Creek-Rd-Chattanooga-TN-37415/41396616_zpid/,21,0
41408713,"3531 Sleepy Hollow Rd, Chattanooga, TN 37415",,,37415,239900,3,1,1086,,,/homedetails/3531-Sleepy-Hollow-Rd-Chattanooga-TN-37415/41408713_zpid/,25,0
2064771631,"2510 Nonova Ln, Chattanooga, TN 37415",,,37415,224500,2,1,862,,,/homedetails/2510-Nonova-Ln-Chattanooga-TN-37415/2064771631_zpid/,33,0
41396627,"800 Reads Lake Rd APT 305, Chattanooga, TN 37415",,,37415,189500,2,3,1420,,,/homedetails/800-Reads-Lake-Rd-APT-305-Chattanooga-TN-37415/41396627_zpid/,35,0
41397332,"3961 N Quail Ln, Chattanooga, TN 37415",,,37415,189900,2,2,924,,,/homedetails/3961-N-Quail-Ln-Chattanooga-TN-37415/41397332_zpid/,35,0
41408475,"3816 Azalean Dr, Chattanooga, TN 37415",,,37415,255900,2,1,1092,,,/homedetails/3816-Azalean-Dr-Chattanooga-TN-37415/41408475_zpid/,40,0
41408706,"508 Lupton Dr, Chattanooga, TN 37415",,,37415,250000,2,1,1008,,,/homedetails/508-Lupton-Dr-Chattanooga-TN-37415/41408706_zpid/,45,0
41396620,"4143 Mountain Creek Rd, Chattanooga, TN 37415",,,37415,276900,2,3,1440,,,/homedetails/4143-Mountain-Creek-Rd-Chattanooga-TN-37415/41396620_zpid/,47,0
41391556,"113 Hill Rd, Chattanooga, TN 37415",,,37415,294500,2,1,1123,,,/homedetails/113-Hill-Rd-Chattanooga-TN-37415/41391556_zpid/,79,0
41406462,"2400 Briggs Ave, Chattanooga, TN 37415",,,37415,300000,4,4,2048,,,/homedetails/2400-Briggs-Ave-Chattanooga-TN-37415/41406462_zpid/,83,0
